"SITE"	"Sum"	"RA"	"Mean"	"DP"	"Max"	"Min"	"MinZ"	"FO"	"S"	"E"	"H"	"D"
"C-B-P08-H1"	66.74	17.48	1.15	4.15	28.2	0	0.02	44.83	26	0.58	1.89	0.76
"C-C-P16-H1"	37.66	9.86	0.65	1.43	8.9	0	0.08	46.55	27	0.83	2.72	0.9
"C-C-P16-H3"	35.94	9.41	0.62	1.53	8.34	0	0.02	46.55	27	0.78	2.57	0.88
"S-C-P16-H1"	24.68	6.46	0.43	2.19	16.34	0	0.02	34.48	20	0.41	1.22	0.53
"C-B-P08-H2"	24.52	6.42	0.42	1.38	8.14	0	0.02	36.21	21	0.62	1.88	0.8
"C-C-P16-H2"	21.18	5.55	0.37	1.01	7.1	0	0.06	41.38	24	0.78	2.48	0.85
"C-B-P10-H3"	12.66	3.32	0.22	0.73	4.4	0	0.02	31.03	18	0.66	1.9	0.79
"C-C-P17-H2"	6.32	1.66	0.11	0.28	1.82	0	0.02	37.93	22	0.81	2.51	0.87
"C-C-P18-H2"	6.24	1.63	0.11	0.37	2.14	0	0.02	31.03	18	0.66	1.91	0.78
"S-C-P16-H2"	4.54	1.19	0.08	0.26	1.82	0	0.02	41.38	24	0.7	2.23	0.8
"C-C-P12-H2"	4.48	1.17	0.08	0.55	4.18	0	0.02	12.07	7	0.18	0.35	0.13
"S-B-P08-H2"	4.34	1.14	0.07	0.28	1.54	0	0.02	20.69	12	0.65	1.61	0.74
"S-C-P17-H2"	4.14	1.08	0.07	0.25	1.44	0	0.02	17.24	10	0.73	1.68	0.78
"C-B-P10-H2"	4.04	1.06	0.07	0.32	2.32	0	0.02	24.14	14	0.57	1.51	0.63
"S-B-P08-H1"	3.72	0.97	0.06	0.27	1.52	0	0.02	25.86	15	0.56	1.51	0.69
"C-B-P05-H3"	3.6	0.94	0.06	0.32	2.2	0	0.04	6.9	4	0.68	0.94	0.54
"C-C-P12-H3"	3.6	0.94	0.06	0.42	3.16	0	0.02	8.62	5	0.32	0.51	0.22
"S-C-P17-H3"	3.56	0.93	0.06	0.24	1.4	0	0.02	22.41	13	0.63	1.61	0.73
"C-C-P13-H3"	3.52	0.92	0.06	0.41	3.14	0	0.02	8.62	5	0.28	0.44	0.2
"C-C-P18-H3"	3.3	0.86	0.06	0.17	0.98	0	0.02	34.48	20	0.71	2.13	0.82
"C-B-P09-H3"	3.16	0.83	0.05	0.39	2.98	0	0.02	8.62	5	0.18	0.28	0.11
"C-C-P12-H1"	3.08	0.81	0.05	0.34	2.62	0	0.02	12.07	7	0.34	0.65	0.27
"S-B-P10-H3"	3.06	0.8	0.05	0.28	2.12	0	0.02	24.14	14	0.44	1.16	0.5
"C-C-P15-H1"	3.04	0.8	0.05	0.35	2.68	0	0.02	13.79	8	0.28	0.58	0.22
"C-B-P08-H3"	2.94	0.77	0.05	0.33	2.52	0	0.02	15.52	9	0.3	0.66	0.26
"C-C-P13-H2"	2.88	0.75	0.05	0.28	2.1	0	0.02	15.52	9	0.46	1.01	0.45
"C-C-P13-H1"	2.74	0.72	0.05	0.28	2.14	0	0.02	17.24	10	0.38	0.88	0.38
"C-C-P14-H2"	2.66	0.7	0.05	0.26	1.96	0	0.04	12.07	7	0.53	1.03	0.44
"C-B-P10-H1"	2.52	0.66	0.04	0.28	2.1	0	0.02	12.07	7	0.35	0.68	0.3
"S-B-P09-H2"	2.38	0.62	0.04	0.27	2.08	0	0.02	12.07	7	0.3	0.59	0.23
"C-B-P07-H1"	2.38	0.62	0.04	0.28	2.1	0	0.02	6.9	4	0.34	0.47	0.22
"C-C-P19-H1"	2.3	0.6	0.04	0.28	2.1	0	0.02	10.34	6	0.24	0.43	0.16
"C-C-P14-H1"	2.24	0.59	0.04	0.25	1.92	0	0.02	10.34	6	0.32	0.58	0.26
"S-B-P10-H1"	2.2	0.58	0.04	0.16	1.18	0	0.02	27.59	16	0.58	1.62	0.66
"S-C-P20-H1"	2.14	0.56	0.04	0.27	2.06	0	0.02	6.9	4	0.14	0.2	0.07
"C-C-P17-H1"	2.12	0.56	0.04	0.22	1.66	0	0.02	15.52	9	0.42	0.93	0.38
"S-C-P17-H1"	2.1	0.55	0.04	0.16	1.1	0	0.02	15.52	9	0.58	1.27	0.63
"C-B-P05-H1"	2.04	0.53	0.04	0.21	1.5	0	0.02	6.9	4	0.5	0.69	0.4
"C-C-P17-H3"	2.04	0.53	0.04	0.16	1.14	0	0.02	15.52	9	0.69	1.51	0.65
"S-B-P09-H3"	1.98	0.52	0.03	0.22	1.68	0	0.02	15.52	9	0.32	0.71	0.28
"S-C-P16-H3"	1.98	0.52	0.03	0.13	0.9	0	0.02	17.24	10	0.7	1.61	0.72
"C-C-P18-H1"	1.8	0.47	0.03	0.17	1.3	0	0.02	20.69	12	0.48	1.2	0.47
"C-C-P15-H3"	1.7	0.45	0.03	0.2	1.56	0	0.02	8.62	5	0.25	0.4	0.16
"S-B-P08-H3"	1.68	0.44	0.03	0.14	1.02	0	0.02	22.41	13	0.55	1.42	0.59
"C-B-P09-H2"	1.66	0.43	0.03	0.2	1.56	0	0.02	8.62	5	0.19	0.31	0.12
"C-C-P14-H3"	1.66	0.43	0.03	0.18	1.36	0	0.02	15.52	9	0.37	0.81	0.32
"C-B-P06-H1"	1.64	0.43	0.03	0.18	1.34	0	0.02	10.34	6	0.4	0.71	0.32
