"SPP"	"Sum"	"RA"	"Mean"	"DP"	"Max"	"Min"	"MinZ"	"FO"	"S"	"E"	"H"	"D"
"Bdelloidea"	123.88	32.45	1.38	0.96	4.4	0.14	0.14	100	90	0.95	4.28	0.98
"Copepodite"	81.22	21.27	0.9	3.35	28.2	0	0.02	77.78	70	0.58	2.48	0.84
"Nauplii"	48.66	12.74	0.54	1.89	16.34	0	0.02	83.33	75	0.64	2.74	0.86
"Alo.dadayi"	21.02	5.51	0.23	1.38	12.68	0	0.02	54.44	49	0.43	1.66	0.61
"Chydorus.sp"	16.72	4.38	0.19	0.85	6.86	0	0.02	20	18	0.62	1.79	0.76
"Lec.curvicornis"	12.52	3.28	0.14	0.93	8.34	0	0.02	16.67	15	0.38	1.02	0.5
"Dia.birgei"	8.06	2.11	0.09	0.38	2.9	0	0.02	18.89	17	0.69	1.95	0.8
"Pla.quadricornis"	7.82	2.05	0.09	0.39	2.58	0	0.02	25.56	23	0.6	1.87	0.77
"Mac.laticornis"	5.08	1.33	0.06	0.29	2.12	0	0.02	14.44	13	0.6	1.55	0.71
"Paracyclops.sp"	4.62	1.21	0.05	0.24	2.2	0	0.02	31.11	28	0.64	2.13	0.75
"Bra.patulus"	4.54	1.19	0.05	0.23	1.7	0	0.02	18.89	17	0.61	1.74	0.75
"Ily.spinifer"	4.52	1.18	0.05	0.24	1.64	0	0.02	17.78	16	0.58	1.6	0.73
"Alo.hamulata"	4.42	1.16	0.05	0.28	2.54	0	0.02	17.78	16	0.56	1.56	0.64
"Mac.mira"	4.28	1.12	0.05	0.23	1.62	0	0.02	8.89	8	0.71	1.48	0.74
"Lec.luna"	4.12	1.08	0.05	0.18	1.34	0	0.02	31.11	28	0.65	2.18	0.82
"Pol.vulgaris"	2.94	0.77	0.03	0.3	2.82	0	0.02	5.56	5	0.14	0.22	0.08
"Mesocyclops.sp"	2.82	0.74	0.03	0.15	1.24	0	0.02	15.56	14	0.69	1.82	0.75
"Lec.cornuta"	2.66	0.7	0.03	0.12	0.76	0	0.02	24.44	22	0.65	2	0.79
"Lec.leontina"	2.4	0.63	0.03	0.12	1.04	0	0.02	23.33	21	0.67	2.05	0.77
"Notodiaptomus.sp"	2.32	0.61	0.03	0.09	0.56	0	0.02	11.11	10	0.86	1.98	0.85
"Lec.bulla"	2.22	0.58	0.02	0.06	0.36	0	0.02	28.89	26	0.85	2.78	0.91
"Alonella.sp"	2.02	0.53	0.02	0.12	0.94	0	0.04	8.89	8	0.73	1.52	0.7
"Lec.lunaris"	1.8	0.47	0.02	0.09	0.72	0	0.02	23.33	21	0.69	2.09	0.78
"Tes.patina"	1.5	0.39	0.02	0.06	0.36	0	0.02	17.78	16	0.78	2.16	0.85
"Lec.aculeata"	1.26	0.33	0.01	0.07	0.5	0	0.02	7.78	7	0.74	1.43	0.71
"Moi.minuta"	1.04	0.27	0.01	0.08	0.72	0	0.02	6.67	6	0.61	1.09	0.5
"Tes.mucronata"	0.84	0.22	0.01	0.04	0.26	0	0.02	8.89	8	0.81	1.68	0.78
"Pol.bicerca"	0.76	0.2	0.01	0.07	0.68	0	0.02	4.44	4	0.32	0.45	0.2
