"SITE"	"Assimetria"	"Curtose"
"S-B-P05-H1"	7.32	55.01
"S-B-P05-H2"	7.08	52.45
"S-B-P05-H3"	7	51.59
"S-B-P06-H1"	7.42	56.02
"S-B-P06-H2"	7.41	55.94
"S-B-P06-H3"	7.4	55.85
"S-B-P07-H1"	7.4	55.86
"S-B-P07-H2"	7.38	55.68
"S-B-P07-H3"	7.31	54.91
"S-B-P08-H1"	4.9	25.69
"S-B-P08-H2"	4.2	19.5
"S-B-P08-H3"	6.57	46.69
"S-B-P09-H1"	7.3	54.83
"S-B-P09-H2"	7.37	55.56
"S-B-P09-H3"	7.36	55.42
"S-B-P10-H1"	6.17	42.19
"S-B-P10-H2"	5.14	30.91
"S-B-P10-H3"	6.94	50.95
"S-C-P12-H1"	5.83	37.48
"S-C-P12-H2"	5.82	38.8
"S-C-P12-H3"	6.65	48.1
"S-C-P13-H1"	7.21	53.8
"S-C-P13-H2"	7.42	56.02
"S-C-P13-H3"	7.33	55.17
"S-C-P14-H1"	7.23	54.14
"S-C-P14-H2"	7.34	55.27
"S-C-P14-H3"	7.15	53.2
"S-C-P15-H1"	7.25	54.31
"S-C-P15-H2"	6.48	45.78
"S-C-P15-H3"	4.25	20.06
"S-C-P16-H1"	6.83	49.82
"S-C-P16-H2"	5.7	37.76
"S-C-P16-H3"	5.26	32.69
"S-C-P17-H1"	5.43	33.23
"S-C-P17-H2"	4	19.39
"S-C-P17-H3"	4.56	23.68
"S-C-P18-H1"	6.41	45.19
"S-C-P18-H2"	4.6	23.4
"S-C-P18-H3"	5.51	36.03
"S-C-P19-H1"	7.32	55.05
"S-C-P19-H2"	7.4	55.87
"S-C-P19-H3"	7.41	55.92
"S-C-P20-H1"	7.41	55.96
"S-C-P20-H2"	7.34	55.2
"S-C-P20-H3"	7.15	53.3
"C-B-P05-H1"	6.57	46.34
"C-B-P05-H2"	7.14	53.17
"C-B-P05-H3"	5.86	38.05
"C-B-P06-H1"	7.24	54.15
"C-B-P06-H2"	7.35	55.32
"C-B-P06-H3"	7.4	55.87
"C-B-P07-H1"	7.33	55.17
"C-B-P07-H2"	7.22	53.98
"C-B-P07-H3"	7.28	54.61
"C-B-P08-H1"	5.34	33.43
"C-B-P08-H2"	3.99	19.78
"C-B-P08-H3"	7.35	55.35
"C-B-P09-H1"	7.41	55.98
"C-B-P09-H2"	7.4	55.89
"C-B-P09-H3"	7.4	55.87
"C-B-P10-H1"	7.29	54.7
"C-B-P10-H2"	6.44	45.4
"C-B-P10-H3"	4.27	21.93
"C-C-P12-H1"	7.33	55.16
"C-C-P12-H2"	7.4	55.86
"C-C-P12-H3"	7.34	55.21
"C-C-P13-H1"	7.2	53.72
"C-C-P13-H2"	7.05	52.24
"C-C-P13-H3"	7.34	55.21
"C-C-P14-H1"	7.3	54.85
"C-C-P14-H2"	7.17	53.54
"C-C-P14-H3"	7.33	55.11
"C-C-P15-H1"	7.38	55.69
"C-C-P15-H2"	7.38	55.61
"C-C-P15-H3"	7.39	55.79
"C-C-P16-H1"	3.84	20.81
"C-C-P16-H2"	5.41	36.01
"C-C-P16-H3"	4	19.48
"C-C-P17-H1"	7.27	54.58
"C-C-P17-H2"	4.55	27.14
"C-C-P17-H3"	6.46	46.1
"C-C-P18-H1"	7.23	54.1
"C-C-P18-H2"	4.44	22.49
"C-C-P18-H3"	4.1	19.77
"C-C-P19-H1"	7.39	55.79
"C-C-P19-H2"	7.31	54.92
"C-C-P19-H3"	7.18	53.55
"C-C-P20-H1"	7.35	55.33
"C-C-P20-H2"	7.36	55.41
"C-C-P20-H3"	7.41	55.97
"SomaTotalN"	593.18	4234.1
"MediaTotalN"	6.59	47.05
"DPTotalN"	1.12	12.29
