"SPP"	"Assimetria"	"Curtose"
"Alo.dadayi"	8.48	76.38
"Alo.hamulata"	8.23	73.3
"Alonella.sp"	6.69	50.06
"Bdelloidea"	1.15	4.05
"Bra.patulus"	5.7	36.01
"Cephalodella.sp"	5.65	37.31
"Colurella.sp"	6.57	50.6
"Copepodite"	6.51	50.77
"Chydorus.sp"	6.27	46.3
"Dicranophoroides.sp"	6.48	43.02
"Dia.birgei"	5.78	39.21
"Dia.spinulosum"	9.28	87.41
"Dis.aculeata"	9.33	88.01
"Euc.dilatata"	9.33	88.01
"Fil.longiseta"	5.2	28.03
"Ily.spinifer"	5.44	31.96
"Lec.aculeata"	5.69	35.73
"Lec.bulla"	3.7	17.29
"Lec.cornuta"	5.14	28.1
"Lec.crepida"	5.81	37.88
"Lec.curvicornis"	8.1	70.45
"Lec.furcata"	9.33	88.01
"Lecane.sp1"	6.48	43.02
"Lec.leontina"	7.19	58.64
"Lec.lunaris"	6.71	50.8
"Lec.luna"	5.41	34.2
"Lec.monostyla"	6.48	43.02
"Lecane.sp2"	7.44	59.35
"Lec.papuana"	7.14	55.58
"Lec.quadridentata"	6.48	43.02
"Lecane.sp3"	9.33	88.01
"Leydigia.sp"	5.99	38.19
"Lepadella.sp1"	9.33	88.01
"Lepadella.sp2"	9.33	88.01
"Lep.ovalis"	4.81	29.52
"Lep.patella"	7.35	60.09
"Mesocyclops.sp"	6.9	55
"Macrocyclops.sp"	8.55	77.86
"Macrochaetus.sp"	9.2	86.37
"Macrothrix.sp"	4.88	28.02
"Mac.mira"	5.34	32.35
"Mac.laticornis"	6.18	41.35
"Moi.minuta"	8.78	80.86
"Myt.crassipes"	9.33	88.01
"Mytilina.sp"	6.48	43.02
"Myt.bisulcata"	9.33	88.01
"Nauplii"	6.93	56.55
"Notodiaptomus.sp"	3.91	18.39
"Paracyclops.sp"	8.15	72.47
"Pla.quadricornis"	5.82	36.76
"Polyarthra.sp"	8.03	70.56
"Pol.bicerca"	9.26	87.12
"Pol.dolichoptera"	6.48	43.02
"Pol.vulgaris"	9.32	87.93
"Tes.patina"	4.39	22.13
"Tes.mucronata"	4.94	26.84
"Trichocerca.sp"	5.37	33.23
"Tri.tetractis"	6.48	43.02
"SomaTotalN"	397.39	3106.25
"MediaTotalN"	6.85	53.56
"DPTotalN"	1.79	23.37
