                    Dim.1       Dim.2       Dim.3       Dim.4        Dim.5
Mud          -0.552803875  0.53296328 -0.47811999  0.14637722  0.034289683
Sand          0.592510489 -0.48117520  0.48047538 -0.08347542  0.012247644
Gravel_f      0.180740065 -0.13829640  0.27311520  0.04566978  0.652460932
Rocks        -0.101198950 -0.11573908 -0.14592719 -0.14761115 -0.312194827
Macrophytes  -0.645798868  0.12215186  0.25998025 -0.05952536 -0.039593223
Grass        -0.822431311  0.04730679  0.07744822 -0.21647048 -0.054578442
Subm_veg     -0.433729245  0.12995358 -0.51315956  0.01582423  0.009346091
Overh_veg     0.706650690  0.47866730 -0.02320709  0.26525927 -0.069225527
Leaf_l        0.094034692  0.59363502  0.23559307  0.45237804 -0.079605526
Root_masses   0.587268241  0.15061853 -0.27279140  0.23371465 -0.135774979
Algae        -0.342380355  0.36603565  0.37938085  0.35718882 -0.009704762
Debris        0.279770710  0.44966274 -0.12325065  0.39253938  0.538074252
Cond_uS.cm    0.014650397 -0.05068380  0.71532708 -0.11885851  0.038192979
Turb_ntu      0.159149068 -0.23623777 -0.56135876 -0.15938572  0.400225053
pH           -0.007165557 -0.61216324  0.11316083  0.19452561  0.088101032
Elev_m        0.038528681  0.83847483  0.28825248 -0.17401619 -0.016461383
Vel_m.s       0.785739357 -0.15953408 -0.34935088 -0.01882066 -0.154345974
Slope         0.586182907  0.18262205  0.08153679  0.04132555 -0.413863218
Depth_avg_cm -0.327948910 -0.53396687 -0.16074380  0.60967343 -0.206491607
Depth_mar_cm -0.307806681 -0.41908155  0.13882571  0.75202323 -0.036463236
