"Alo.dadayi";"Alo.hamulata";"Alonella.sp";"Bdelloidea";"Bra.patulus";"Cephalodella.sp";"Colurella.sp";"Copepodite";"Chydorus.sp";"Dicranophoroides.sp";"Dia.birgei";"Dia.spinulosum";"Dis.aculeata";"Euc.dilatata";"Fil.longiseta";"Ily.spinifer";"Lec.aculeata";"Lec.bulla";"Lec.cornuta";"Lec.crepida";"Lec.curvicornis";"Lec.furcata";"Lecane.sp1";"Lec.leontina";"Lec.lunaris";"Lec.luna";"Lec.monostyla";"Lecane.sp2";"Lec.papuana";"Lec.quadridentata";"Lecane.sp3";"Leydigia.sp";"Lepadella.sp1";"Lepadella.sp2";"Lep.ovalis";"Lep.patella";"Mesocyclops.sp";"Macrocyclops.sp";"Macrochaetus.sp";"Macrothrix.sp";"Mac.mira";"Mac.laticornis";"Moi.minuta";"Myt.crassipes";"Mytilina.sp";"Myt.bisulcata";"Nauplii";"Notodiaptomus.sp";"Paracyclops.sp";"Pla.quadricornis";"Polyarthra.sp";"Pol.bicerca";"Pol.dolichoptera";"Pol.vulgaris";"Tes.patina";"Tes.mucronata";"Trichocerca.sp";"Tri.tetractis"
"S-B-P05-H1";0;0;0;0.0773657232158886;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0950588966766792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0351219697161099;0;0.065842733473721;0;0.361367123906708;0;0.785398163397448;0;0;0;0;0
"S-B-P05-H2";0;0;0;0.0609743893637315;0;0;0;0.0313895306396526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.281034901502814;0;0;0;0;0;0;0;0;0.065842733473721;0;0;0;0;0;0;0;0;0
"S-B-P05-H3";0;0;0;0.071938942196573;0;0;0;0.0221939271983833;0;0;0;0;0;0;0;0;0;0.13463761161325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0496801883842581;0;0;0;0;0;0;0;0;0;0;0
"S-B-P06-H1";0;0;0;0.071938942196573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S-B-P06-H2";0.0308508785488275;0;0;0.101825167531148;0;0;0;0.0156928321891046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0202748990398659;0;0;0;0;0;0;0;0;0;0;0
"S-B-P06-H3";0;0;0;0.111728432431866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0351219697161099;0;0;0;0;0;0;0;0;0;0;0
"S-B-P07-H1";0;0;0;0.0977534949864967;0;0;0;0.0221939271983833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0202748990398659;0;0;0;0;0;0;0;0;0;0;0
"S-B-P07-H2";0;0;0;0.0843832526026004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0286750023294905;0;0.065842733473721;0;0.361367123906708;0;0;0;0;0;0;0
"S-B-P07-H3";0;0;0;0.0834165846885453;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0950588966766792;0;0;0;0;0;0;0;0;0;0;0;0;1.5707963267949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0405581385145469;0;0;0;0.361367123906708;0;0;0;0;0;0;0
"S-B-P08-H1";0.0308508785488275;0;0;0.105742259283951;0;0;0.252680255142079;0.137231655312907;0;0;0;0;0;0;0.615479708670387;0.0665681637758238;0;0;0;0;0;0;0.785398163397448;0.0914143583720474;0;0.139801549318367;0;0;0;0;0;0;0;0;0;0;0.146387259294249;0.261157410903024;0;0;0;0;0;0;0;1.5707963267949;0.0785998724705682;0;0.198690239727224;0;0;0;0.785398163397448;0;0;0;0;0
