"Alo.dadayi";"Alo.hamulata";"Alonella.sp";"Bdelloidea";"Bra.patulus";"Cephalodella.sp";"Colurella.sp";"Copepodite";"Chydorus.sp";"Dicranophoroides.sp";"Dia.birgei";"Dia.spinulosum";"Dis.aculeata";"Euc.dilatata";"Fil.longiseta";"Ily.spinifer";"Lec.aculeata";"Lec.bulla";"Lec.cornuta";"Lec.crepida";"Lec.curvicornis";"Lec.furcata";"Lecane.sp1";"Lec.leontina";"Lec.lunaris";"Lec.luna";"Lec.monostyla";"Lecane.sp2";"Lec.papuana";"Lec.quadridentata";"Lecane.sp3";"Leydigia.sp";"Lepadella.sp1";"Lepadella.sp2";"Lep.ovalis";"Lep.patella";"Mesocyclops.sp";"Macrocyclops.sp";"Macrochaetus.sp";"Macrothrix.sp";"Mac.mira";"Mac.laticornis";"Moi.minuta";"Myt.crassipes";"Mytilina.sp";"Myt.bisulcata";"Nauplii";"Notodiaptomus.sp";"Paracyclops.sp";"Pla.quadricornis";"Polyarthra.sp";"Pol.bicerca";"Pol.dolichoptera";"Pol.vulgaris";"Tes.patina";"Tes.mucronata";"Trichocerca.sp";"Tri.tetractis"
"S-B-P05-H1";0;0;0;0.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0.02;0;0.02;0;0.02;0;0;0;0;0
"S-B-P05-H2";0;0;0;0.46;0;0;0;0.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0
"S-B-P05-H3";0;0;0;0.64;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0
"S-B-P06-H1";0;0;0;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S-B-P06-H2";0.02;0;0;1.28;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0
"S-B-P06-H3";0;0;0;1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0;0;0;0;0;0;0;0;0;0
"S-B-P07-H1";0;0;0;1.18;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0
"S-B-P07-H2";0;0;0;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0.02;0;0.02;0;0;0;0;0;0;0
"S-B-P07-H3";0;0;0;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0;0;0;0.02;0;0;0;0;0;0;0
"S-B-P08-H1";0.02;0;0;1.38;0;0;0.02;1.52;0;0;0;0;0;0;0.02;0.02;0;0;0;0;0;0;0.02;0.02;0;0.08;0;0;0;0;0;0;0;0;0;0;0.06;0.04;0;0;0;0;0;0;0;0.02;0.3;0;0.18;0;0;0;0.02;0;0;0;0;0
"S-B-P08-H2";0.12;0;0;1;0;0;0;1.54;0;0;0;0;0;0;0;0;0;0.16;0;0.08;0;0;0;0;0.04;0.04;0;0;0;0.02;0;0;0;0;0.04;0;0.02;0;0;0;0;0;0;0;0;0;1.2;0;0.08;0;0;0;0;0;0;0;0;0
"S-B-P08-H3";0.02;0;0;1.02;0;0;0;0.06;0;0;0;0;0;0;0;0;0;0.04;0;0.02;0.02;0;0;0;0;0.08;0.02;0;0.04;0.02;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0.3;0;0.02;0;0;0;0;0;0;0;0;0
"S-B-P09-H1";0;0;0;0.7;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0;0.02;0;0;0;0;0;0;0;0
"S-B-P09-H2";0;0;0;2.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0.02;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0.1;0;0;0;0;0;0;0
"S-B-P09-H3";0;0;0;1.68;0;0;0.04;0;0.02;0;0;0;0;0;0;0;0;0.08;0.02;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0.08;0;0;0;0;0;0;0;0.02;0;0;0
"S-B-P10-H1";0.02;0;0;1.18;0.04;0;0.02;0.02;0;0;0;0;0;0;0;0;0.02;0.16;0.02;0;0;0;0;0;0.02;0.02;0;0;0;0;0;0;0;0;0.14;0;0;0;0.02;0;0;0;0;0;0;0;0.42;0;0;0.04;0;0;0;0;0.04;0;0;0.02
"S-B-P10-H2";0.02;0;0;0.5;0;0.04;0.06;0;0;0;0;0;0;0;0;0;0;0.26;0;0.14;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0.02;0;0;0;0;0.02;0;0.02;0;0;0.06;0;0;0;0;0.02;0;0;0.02
"S-B-P10-H3";0.04;0;0;2.12;0.02;0;0.02;0;0.02;0;0;0;0;0;0;0;0;0.36;0.02;0;0;0;0;0;0.02;0.02;0;0;0;0;0;0;0;0;0.06;0.02;0;0;0.02;0.02;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0
"S-C-P12-H1";0.02;0;0;0.5;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0.02;0;0.02;0;0;0;0;0;0;0;0.04;0.02;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24;0;0;0;0;0;0;0;0;0;0;0
"S-C-P12-H2";0.02;0;0;0.38;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0.06;0;0;0;0;0;0;0;0.06;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0;0;0;0;0;0;0;0;0;0
"S-C-P12-H3";0.04;0;0;0.46;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0.08;0.04;0;0;0;0.02;0;0.02;0;0;0;0;0;0;0;0;0.02;0;0;0.02;0;0;0;0;0;0;0;0;0;0.08;0;0.02;0;0;0;0;0;0;0;0;0
"S-C-P13-H1";0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S-C-P13-H2";0;0;0;0.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S-C-P13-H3";0;0;0;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0;0;0;0;0;0;0;0;0;0
"S-C-P14-H1";0;0;0;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S-C-P14-H2";0;0;0;0.54;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0
"S-C-P14-H3";0;0;0;1;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16;0;0;0;0;0;0;0;0;0;0;0
"S-C-P15-H1";0;0;0;0.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0
