"pt.rio";"pt.periodo";"pt.rebio";"s.habitat";"s.ponto";"s.rio";"s.rebio";"c.habitat";"c.ponto";"c.rio";"c.rebio";"bb.habitat";"bb.ponto";"bb.rio";"ca.habitat";"ca.ponto";"ca.rio"
"S-B-P05-H1";111;11;1;1111;111;11;1;NA;NA;NA;NA;111;11;1;NA;NA;NA
"S-B-P05-H2";111;11;1;1112;111;11;1;NA;NA;NA;NA;112;11;1;NA;NA;NA
"S-B-P05-H3";111;11;1;1113;111;11;1;NA;NA;NA;NA;113;11;1;NA;NA;NA
"S-B-P06-H1";111;11;1;1114;112;11;1;NA;NA;NA;NA;114;12;1;NA;NA;NA
"S-B-P06-H2";111;11;1;1115;112;11;1;NA;NA;NA;NA;115;12;1;NA;NA;NA
"S-B-P06-H3";111;11;1;1116;112;11;1;NA;NA;NA;NA;116;12;1;NA;NA;NA
"S-B-P07-H1";111;11;1;1117;113;11;1;NA;NA;NA;NA;117;13;1;NA;NA;NA
"S-B-P07-H2";111;11;1;1118;113;11;1;NA;NA;NA;NA;118;13;1;NA;NA;NA
"S-B-P07-H3";111;11;1;1119;113;11;1;NA;NA;NA;NA;119;13;1;NA;NA;NA
"S-B-P08-H1";111;11;1;1120;114;11;1;NA;NA;NA;NA;120;14;1;NA;NA;NA
"S-B-P08-H2";111;11;1;1121;114;11;1;NA;NA;NA;NA;121;14;1;NA;NA;NA
"S-B-P08-H3";111;11;1;1122;114;11;1;NA;NA;NA;NA;122;14;1;NA;NA;NA
"S-B-P09-H1";111;11;1;1123;115;11;1;NA;NA;NA;NA;123;15;1;NA;NA;NA
"S-B-P09-H2";111;11;1;1124;115;11;1;NA;NA;NA;NA;124;15;1;NA;NA;NA
"S-B-P09-H3";111;11;1;1125;115;11;1;NA;NA;NA;NA;125;15;1;NA;NA;NA
"S-B-P10-H1";111;11;1;1126;116;11;1;NA;NA;NA;NA;126;16;1;NA;NA;NA
"S-B-P10-H2";111;11;1;1127;116;11;1;NA;NA;NA;NA;127;16;1;NA;NA;NA
"S-B-P10-H3";111;11;1;1128;116;11;1;NA;NA;NA;NA;128;16;1;NA;NA;NA
"S-C-P12-H1";112;11;1;1129;117;12;1;NA;NA;NA;NA;NA;NA;NA;111;11;1
"S-C-P12-H2";112;11;1;1130;117;12;1;NA;NA;NA;NA;NA;NA;NA;112;11;1
"S-C-P12-H3";112;11;1;1131;117;12;1;NA;NA;NA;NA;NA;NA;NA;113;11;1
"S-C-P13-H1";112;11;1;1132;118;12;1;NA;NA;NA;NA;NA;NA;NA;114;12;1
"S-C-P13-H2";112;11;1;1133;118;12;1;NA;NA;NA;NA;NA;NA;NA;115;12;1
"S-C-P13-H3";112;11;1;1134;118;12;1;NA;NA;NA;NA;NA;NA;NA;116;12;1
"S-C-P14-H1";112;11;1;1135;119;12;1;NA;NA;NA;NA;NA;NA;NA;117;13;1
"S-C-P14-H2";112;11;1;1136;119;12;1;NA;NA;NA;NA;NA;NA;NA;118;13;1
"S-C-P14-H3";112;11;1;1137;119;12;1;NA;NA;NA;NA;NA;NA;NA;119;13;1
"S-C-P15-H1";112;11;1;1138;120;12;1;NA;NA;NA;NA;NA;NA;NA;120;14;1
"S-C-P15-H2";112;11;1;1139;120;12;1;NA;NA;NA;NA;NA;NA;NA;121;14;1
"S-C-P15-H3";112;11;1;1140;120;12;1;NA;NA;NA;NA;NA;NA;NA;122;14;1
"S-C-P16-H1";112;11;1;1141;121;12;1;NA;NA;NA;NA;NA;NA;NA;123;15;1
"S-C-P16-H2";112;11;1;1142;121;12;1;NA;NA;NA;NA;NA;NA;NA;124;15;1
"S-C-P16-H3";112;11;1;1143;121;12;1;NA;NA;NA;NA;NA;NA;NA;125;15;1
"S-C-P17-H1";112;11;1;1144;122;12;1;NA;NA;NA;NA;NA;NA;NA;126;16;1
"S-C-P17-H2";112;11;1;1145;122;12;1;NA;NA;NA;NA;NA;NA;NA;127;16;1
"S-C-P17-H3";112;11;1;1146;122;12;1;NA;NA;NA;NA;NA;NA;NA;128;16;1
"S-C-P18-H1";112;11;1;1147;123;12;1;NA;NA;NA;NA;NA;NA;NA;129;17;1
"S-C-P18-H2";112;11;1;1148;123;12;1;NA;NA;NA;NA;NA;NA;NA;130;17;1
"S-C-P18-H3";112;11;1;1149;123;12;1;NA;NA;NA;NA;NA;NA;NA;131;17;1
"S-C-P19-H1";112;11;1;1150;124;12;1;NA;NA;NA;NA;NA;NA;NA;132;18;1
"S-C-P19-H2";112;11;1;1151;124;12;1;NA;NA;NA;NA;NA;NA;NA;133;18;1
"S-C-P19-H3";112;11;1;1152;124;12;1;NA;NA;NA;NA;NA;NA;NA;134;18;1
"S-C-P20-H1";112;11;1;1153;125;12;1;NA;NA;NA;NA;NA;NA;NA;135;19;1
"S-C-P20-H2";112;11;1;1154;125;12;1;NA;NA;NA;NA;NA;NA;NA;136;19;1
"S-C-P20-H3";112;11;1;1155;125;12;1;NA;NA;NA;NA;NA;NA;NA;137;19;1
"C-B-P05-H1";113;12;1;NA;NA;NA;NA;1111;111;11;1;111;11;1;NA;NA;NA
"C-B-P05-H2";113;12;1;NA;NA;NA;NA;1112;111;11;1;112;11;1;NA;NA;NA
"C-B-P05-H3";113;12;1;NA;NA;NA;NA;1113;111;11;1;113;11;1;NA;NA;NA
"C-B-P06-H1";113;12;1;NA;NA;NA;NA;1114;112;11;1;114;12;1;NA;NA;NA
"C-B-P06-H2";113;12;1;NA;NA;NA;NA;1115;112;11;1;115;12;1;NA;NA;NA
"C-B-P06-H3";113;12;1;NA;NA;NA;NA;1116;112;11;1;116;12;1;NA;NA;NA
"C-B-P07-H1";113;12;1;NA;NA;NA;NA;1117;113;11;1;117;13;1;NA;NA;NA
"C-B-P07-H2";113;12;1;NA;NA;NA;NA;1118;113;11;1;118;13;1;NA;NA;NA
"C-B-P07-H3";113;12;1;NA;NA;NA;NA;1119;113;11;1;119;13;1;NA;NA;NA
"C-B-P08-H1";113;12;1;NA;NA;NA;NA;1120;114;11;1;120;14;1;NA;NA;NA
"C-B-P08-H2";113;12;1;NA;NA;NA;NA;1121;114;11;1;121;14;1;NA;NA;NA
"C-B-P08-H3";113;12;1;NA;NA;NA;NA;1122;114;11;1;122;14;1;NA;NA;NA
"C-B-P09-H1";113;12;1;NA;NA;NA;NA;1123;115;11;1;123;15;1;NA;NA;NA
"C-B-P09-H2";113;12;1;NA;NA;NA;NA;1124;115;11;1;124;15;1;NA;NA;NA
"C-B-P09-H3";113;12;1;NA;NA;NA;NA;1125;115;11;1;125;15;1;NA;NA;NA
"C-B-P10-H1";113;12;1;NA;NA;NA;NA;1126;116;11;1;126;16;1;NA;NA;NA
"C-B-P10-H2";113;12;1;NA;NA;NA;NA;1127;116;11;1;127;16;1;NA;NA;NA
"C-B-P10-H3";113;12;1;NA;NA;NA;NA;1128;116;11;1;128;16;1;NA;NA;NA
"C-C-P12-H1";114;12;1;NA;NA;NA;NA;1129;117;12;1;NA;NA;NA;111;11;1
"C-C-P12-H2";114;12;1;NA;NA;NA;NA;1130;117;12;1;NA;NA;NA;112;11;1
"C-C-P12-H3";114;12;1;NA;NA;NA;NA;1131;117;12;1;NA;NA;NA;113;11;1
"C-C-P13-H1";114;12;1;NA;NA;NA;NA;1132;118;12;1;NA;NA;NA;114;12;1
"C-C-P13-H2";114;12;1;NA;NA;NA;NA;1133;118;12;1;NA;NA;NA;115;12;1
"C-C-P13-H3";114;12;1;NA;NA;NA;NA;1134;118;12;1;NA;NA;NA;116;12;1
"C-C-P14-H1";114;12;1;NA;NA;NA;NA;1135;119;12;1;NA;NA;NA;117;13;1
"C-C-P14-H2";114;12;1;NA;NA;NA;NA;1136;119;12;1;NA;NA;NA;118;13;1
