"w.Cond_uS.cm";"w.Turb_ntu";"w.pH";"m.Elev_m";"m.Vel_m.s";"m.Slope";"m.Depth_avg_cm";"m.Depth_mar_cm";"s.Mud";"s.Sand";"s.Gravel_f";"s.Rocks";"h.Macrophytes";"h.Grass";"h.Subm_veg";"h.Overh_veg";"h.Leaf_l";"h.Root_masses";"h.Algae";"h.Debris"
"S-B-P05-H1";134;6.85;6.33;107.07;0.025;1.5;13.6666666666667;16;100;0;0;0;5;0;5;90;10;0;5;30
"S-B-P05-H2";164.4;10.7;7.46;107.07;0.025;1;13.6666666666667;16;100;0;0;0;5;0;5;90;10;0;5;30
"S-B-P05-H3";140.9;4.62;7.15;107.07;0.025;1;13.6666666666667;16;100;0;0;0;5;0;5;90;10;0;5;30
"S-B-P06-H1";154.1;2.14;6.83;112.84;0.0352195351021366;2.5;20.3333333333333;30;100;0;0;0;30;5;5;80;5;5;0;5
"S-B-P06-H2";156.8;2.12;7.73;112.84;0.0352195351021366;2.5;20.3333333333333;30;100;0;0;0;30;5;15;85;1;15;1;6
"S-B-P06-H3";134.1;14.1;5.87;112.84;0.0352195351021366;2.5;28.3333333333333;30;100;0;0;0;0;5;5;80;5;5;0;5
"S-B-P07-H1";98.28;1.51;5.76;89.047;0.0221803260507929;2.5;16;42;90;10;0;0;0;5;0;90;30;15;2;15
"S-B-P07-H2";160.2;9.25;6.05;89.047;0.108426270136307;1.5;20.3333333333333;29;90;10;0;0;0;0;0;85;5;10;21;11
"S-B-P07-H3";128.5;2.52;4.55;89.047;0.0872274143302181;2.5;22.6666666666667;15;90;10;0;0;0;1;10;80;25;5;10;5
"S-B-P08-H1";161.3;6.26;6;89.059;0;2;51.3333333333333;49;80;20;0;0;60;50;0;30;30;0;15;30
"S-B-P08-H2";161.8;6.8;5.93;89.059;0;2;51.3333333333333;87;80;20;0;0;25;20;5;30;20;0;20;35
"S-B-P08-H3";158.8;6.13;5.87;89.059;0.114754098360656;2;30;22;80;20;0;0;22.5;47.5;5;30;30;0;15;30
"S-B-P09-H1";165.5;17.2;6.59;71.023;0.28;3;15.6666666666667;20;80;20;0;0;0;0;10;80;30;50;0;1
"S-B-P09-H2";163.2;17.7;6.59;71.023;0.25;3;15;20;60;40;0;0;0;0;20;70;1;90;0;10
"S-B-P09-H3";161.2;17.5;6.59;71.023;0.347826086956522;2;19.6666666666667;20;70;30;0;0;0;0;20;60;10;90;0;40
"S-B-P10-H1";155.2;24.2;7.26;41.474;0.021978021978022;1.5;40.6666666666667;52;20;80;0;0;5;10;5;5;10;0;0;15
"S-B-P10-H2";157.9;34.8;6.71;41.474;0.021978021978022;2;40.6666666666667;38;20;80;0;0;0;1;10;20;5;10;0;20
"S-B-P10-H3";149.7;29.9;6.61;41.474;0.021978021978022;1;40.6666666666667;46;50;50;0;0;0;30;0;0;1;0;0;10
"S-C-P12-H1";120.2;8;6.44;80;0.187758167480285;1;5.33333333333333;6;90;10;0;0;0;0;0;90;5;5;0;8
"S-C-P12-H2";122.8;2;6.07;80;0.0551610011721713;1.5;7;9;90;10;0;0;0;0;0;85;15;5;0;20
"S-C-P12-H3";129.8;10;5.8;80;0.110567051018796;1.5;17;15;90;10;0;0;0;0;0;90;10;0;5;15
"S-C-P13-H1";115.2;10;6.01;87;0.251798561151079;1;12.6666666666667;11;10;90;0;0;0;0;5;80;5;10;0;15
"S-C-P13-H2";122.4;8;6;87;0.210674157303371;2;10.3333333333333;14;10;90;0;0;5;0;0;30;10;5;0;10
"S-C-P13-H3";111.4;2;6.19;87;0.0213219616204691;2;25;38;80;20;0;0;0;0;0;40;10;15;0;40
"S-C-P14-H1";145.7;7;5.99;76;0.0469557051181719;3.5;16.3333333333333;13;5;95;0;0;0;0;0;60;5;20;0;25
"S-C-P14-H2";117;28;6.46;76;0.460526315789474;3;14;11;5;95;0;0;0;0;0;50;5;15;0;30
"S-C-P14-H3";184.2;14;6.31;76;0.154901526886479;3;10.6666666666667;10;5;90;5;0;0;0;0;60;5;10;0;30
"S-C-P15-H1";250.8;11;6.37;86;0.159090909090909;2.5;26;14;10;90;0;0;0;0;0;40;10;5;0;20
"S-C-P15-H2";232.3;8;6.27;86;0.108008023453171;2.5;21;19;10;90;0;0;0;0;0;40;5;0;0;10
