"Variable";"Ponto5";"Ponto6";"Ponto7";"Ponto8";"Ponto9";"Ponto10";"Ponto12";"Ponto13";"Ponto14";"Ponto15";"Ponto16";"Ponto17";"Ponto18";"Ponto19";"Ponto20"
"1";"w.Cond.uS.cm";"137.5 (119.2-164.4)";"148 (134.1-156.8)";"137.5 (98.3-160.2)";"154.2 (141.6-161.8)";"148.2 (120.8-165.5)";"140.7 (105-157.9)";"111.7 (85.2-129.8)";"98.8 (78.3-122.4)";"139.4 (92.2-184.2)";"223 (172.5-250.8)";"153.5 (109.3-212.5)";"123.4 (110.9-130.6)";"121.1 (100.8-136.6)";"130.9 (123.7-139.7)";"134.2 (125.6-139.6)"
"2";"w.Turb.ntu";"5 (2-10.7)";"4.9 (2.1-14.1)";"4.9 (1.5-9.2)";"5.7 (4-6.8)";"15.1 (11-17.7)";"21.5 (10-34.8)";"79.2 (2-346)";"11.7 (2-21)";"27.8 (7-44)";"11.7 (6-21)";"11.3 (5-20)";"32 (11.9-61)";"30.1 (9.3-64)";"10.2 (4.3-14)";"11.2 (8-14.2)"
"3";"w.pH";"5.9 (4.7-7.5)";"5.7 (4.6-7.7)";"5.1 (4.5-6)";"5.5 (5-6)";"6 (5.3-6.6)";"6.1 (5.3-7.3)";"5.8 (5.3-6.4)";"5.9 (5.5-6.2)";"6.1 (6-6.5)";"6.3 (6-6.6)";"6.5 (6.2-6.9)";"6.4 (6.3-6.6)";"6.5 (6-6.8)";"6.7 (6.4-7)";"6.9 (6.7-7.4)"
"4";"m.Elev.m";"107.1 (107.1-107.1)";"112.8 (112.8-112.8)";"89 (89-89)";"89.1 (89.1-89.1)";"71 (71-71)";"41.5 (41.5-41.5)";"80 (80-80)";"87 (87-87)";"76 (76-76)";"86 (86-86)";"76 (76-76)";"49 (49-49)";"47 (47-47)";"54 (54-54)";"49 (49-49)"
"5";"m.Vel.m.s";"0.073 (0.025-0.161)";"0.086 (0.035-0.24)";"0.135 (0.022-0.207)";"0.036 (0-0.115)";"0.261 (0.172-0.348)";"0.04 (0-0.119)";"0.271 (0.055-0.588)";"0.254 (0.021-0.423)";"0.296 (0.047-0.461)";"0.195 (0.09-0.302)";"0 (0-0)";"0.272 (0.084-0.508)";"0.118 (0.054-0.182)";"0.41 (0.33-0.557)";"0.22 (0.115-0.37)"
"6";"m.Slope";"1.4 (1-2)";"2.7 (2.5-3)";"2.4 (1.5-3)";"1.5 (1-2)";"2.1 (1.5-3)";"1.2 (1-2)";"1.3 (1-2)";"1.8 (1-2)";"3.2 (2.5-3.5)";"2.3 (1.5-2.5)";"1 (1-1)";"2.1 (1-3.5)";"1 (1-1)";"2.4 (2-3.5)";"1.9 (1.5-3)"
"7";"m.Depth.avg.cm";"12.8 (9-14)";"23.7 (16.3-31.7)";"23.8 (16-41)";"43.3 (28.3-51.3)";"22.1 (15-29)";"35.2 (25.3-40.7)";"13.2 (5.3-22.7)";"22.6 (10.3-36.3)";"19.8 (10.7-40.7)";"17.2 (10.7-26)";"33 (14-42)";"54.4 (15.7-98.7)";"49.9 (18-65)";"46.2 (34.7-64)";"72.4 (43-110)"
"8";"m.Depth.mar.cm";"11.8 (3-16)";"21.7 (8-30)";"18.8 (7-42)";"48.3 (16-87)";"18.8 (11-30)";"33.5 (17-52)";"10.7 (6-15)";"19.5 (11-38)";"12.7 (10-15)";"13.7 (8-23)";"20.3 (12-33)";"38.3 (5-100)";"28.8 (9-50)";"41.5 (28-57)";"49 (20-94)"
"9";"s.Mud";"100 (100-100)";"100 (100-100)";"95 (90-100)";"74.2 (5-100)";"38.3 (5-80)";"36.7 (10-100)";"90 (90-90)";"61.7 (10-90)";"7.5 (0-30)";"7.5 (0-10)";"83.3 (0-100)";"97.5 (90-100)";"68.3 (5-100)";"1.7 (0-5)";"66.7 (5-100)"
"10";"s.Sand";"0 (0-0)";"0 (0-0)";"5 (0-10)";"25.8 (0-95)";"61.7 (20-95)";"63.3 (0-90)";"10 (10-10)";"38.3 (10-90)";"91.7 (70-100)";"90.8 (80-100)";"16.7 (0-100)";"0.8 (0-5)";"30 (0-95)";"98.3 (95-100)";"33.3 (0-95)"
"11";"s.Gravel.f";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0.8 (0-5)";"1.7 (0-10)";"0 (0-0)";"0 (0-0)";"1.7 (0-10)";"0 (0-0)";"0 (0-0)"
"12";"s.Rocks";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"1.7 (0-10)";"0 (0-0)";"0 (0-0)";"0 (0-0)"
"13";"h.Macrophytes";"5.8 (5-10)";"10 (0-30)";"0 (0-0)";"17.9 (0-60)";"0 (0-0)";"1.7 (0-5)";"0 (0-0)";"0.8 (0-5)";"0 (0-0)";"0 (0-0)";"20.8 (0-50)";"0 (0-0)";"4.2 (0-15)";"0 (0-0)";"0 (0-0)"
"14";"h.Grass";"3.3 (0-10)";"8.3 (5-15)";"6 (0-15)";"27.1 (15-50)";"0 (0-0)";"21.8 (1-50)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0.8 (0-5)";"39.2 (15-50)";"5.8 (5-10)";"4.2 (0-10)";"0 (0-0)";"0 (0-0)"
"15";"h.Subm.veg";"7.5 (5-15)";"8.3 (5-15)";"5.8 (0-10)";"5.8 (0-10)";"10.8 (0-20)";"5 (0-10)";"1.7 (0-5)";"6.7 (0-15)";"5 (0-15)";"0 (0-0)";"16.7 (5-20)";"10 (5-15)";"10 (0-20)";"0.8 (0-5)";"8.3 (0-25)"
"16";"h.Overh.veg";"68.3 (40-90)";"70.8 (50-85)";"76.7 (60-90)";"31.7 (25-50)";"70 (60-80)";"5 (0-20)";"83.3 (75-90)";"63.3 (30-80)";"65.8 (50-85)";"50 (40-70)";"0.8 (0-5)";"20.8 (10-30)";"33.3 (0-70)";"61.7 (50-70)";"61.7 (40-80)"
"17";"h.Leaf.l";"7.5 (5-10)";"11 (1-25)";"15.8 (5-30)";"18.3 (10-30)";"10.2 (1-30)";"3.5 (0-10)";"7.5 (5-15)";"6.7 (5-10)";"5 (5-5)";"7.5 (5-10)";"1.7 (0-5)";"2.5 (0-5)";"5 (0-10)";"4.2 (0-5)";"8.3 (0-15)"
"18";"h.Root.masses";"5 (0-15)";"10.8 (5-15)";"12.5 (5-20)";"4.2 (0-10)";"42.5 (5-90)";"3.3 (0-10)";"5.8 (0-10)";"10 (5-15)";"11.7 (5-20)";"9.2 (0-25)";"0.8 (0-5)";"10.8 (5-15)";"5.8 (0-15)";"7.5 (5-15)";"11.7 (10-15)"
"19";"h.Algae";"2.5 (0-5)";"0.2 (0-1)";"5.5 (0-21)";"19.2 (15-25)";"0 (0-0)";"0.8 (0-5)";"0.8 (0-5)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)";"0 (0-0)"
"20";"h.Debris";"30.8 (20-45)";"12.7 (5-20)";"17.7 (5-30)";"21.7 (5-35)";"16.8 (1-40)";"8.3 (0-20)";"22.2 (8-40)";"25.8 (10-40)";"23.3 (10-30)";"18.3 (10-40)";"4.2 (0-10)";"25.8 (0-45)";"20 (0-35)";"4.2 (0-15)";"17.5 (5-25)"
