"Variable";"Barro Branco_chuvoso_Ponto10";"Barro Branco_chuvoso_Ponto5";"Barro Branco_chuvoso_Ponto6";"Barro Branco_chuvoso_Ponto7";"Barro Branco_chuvoso_Ponto8";"Barro Branco_chuvoso_Ponto9";"Barro Branco_seco_Ponto10";"Barro Branco_seco_Ponto5";"Barro Branco_seco_Ponto6";"Barro Branco_seco_Ponto7";"Barro Branco_seco_Ponto8";"Barro Branco_seco_Ponto9";"Caiana_chuvoso_Ponto12";"Caiana_chuvoso_Ponto13";"Caiana_chuvoso_Ponto14";"Caiana_chuvoso_Ponto15";"Caiana_chuvoso_Ponto16";"Caiana_chuvoso_Ponto17";"Caiana_chuvoso_Ponto18";"Caiana_chuvoso_Ponto19";"Caiana_chuvoso_Ponto20";"Caiana_seco_Ponto12";"Caiana_seco_Ponto13";"Caiana_seco_Ponto14";"Caiana_seco_Ponto15";"Caiana_seco_Ponto16";"Caiana_seco_Ponto17";"Caiana_seco_Ponto18";"Caiana_seco_Ponto19";"Caiana_seco_Ponto20"
"1";"Alo.dadayi";"0.4 (0.3)";"0 (0)";"0 (0)";"0 (0)";"5.3 (6.6)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.1 (0.1)";"0 (0)";"0.1 (0)";"0.1 (0)";"0.1 (0.1)";"0 (0)";"0.6 (0.5)";"0.1 (0.2)";"0.1 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"2";"Alo.hamulata";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"1.1 (1.3)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.2 (0.2)";"0 (0)";"0 (0)";"0.1 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"3";"Alonella.sp";"0 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0.4 (0.5)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.2 (0.3)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"4";"Bdelloidea";"2.9 (1.3)";"1.7 (0.5)";"1.3 (0)";"1.5 (0.5)";"3.4 (0.8)";"2 (0.8)";"1.3 (0.8)";"0.6 (0.1)";"1.2 (0.5)";"1 (0.2)";"1.1 (0.2)";"1.5 (0.7)";"3.3 (0.8)";"2.5 (0.6)";"1.7 (0.3)";"1.9 (0.7)";"1.9 (1.3)";"1.5 (0.4)";"1.4 (0.7)";"1.2 (0.8)";"0.8 (0.2)";"0.4 (0.1)";"0.4 (0.3)";"0.6 (0.4)";"0.4 (0.1)";"0.5 (0.5)";"0.8 (0.2)";"0.3 (0.1)";"1 (0.6)";"1.2 (0.8)"
"5";"Bra.patulus";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"1.2 (0.5)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"6";"Cephalodella.sp";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"7";"Colurella.sp";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"8";"Copepodite";"0.5 (0.8)";"0.5 (0.4)";"0.1 (0)";"0.1 (0)";"12.1 (14.5)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"1 (0.8)";"0 (0)";"0.1 (0.1)";"0.3 (0)";"0.1 (0.1)";"0 (0)";"7.9 (0.9)";"0.4 (0.3)";"0.9 (0.8)";"0 (0)";"0 (0)";"0.1 (0.1)";"0 (0)";"0 (0)";"0.1 (0.2)";"1.1 (1.3)";"1.3 (0.2)";"0.2 (0.1)";"0 (0)";"0 (0.1)"
"9";"Chydorus.sp";"0.2 (0.1)";"0 (0)";"0 (0)";"0 (0)";"3.2 (3.5)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"1.9 (0.9)";"0.2 (0.2)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"10";"Dicranophoroides.sp";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"11";"Dia.birgei";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0.1)";"0 (0)";"1.9 (0.9)";"0.1 (0.1)";"0.2 (0.2)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.2 (0.4)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"12";"Dia.spinulosum";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.1 (0.2)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"13";"Dis.aculeata";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"14";"Euc.dilatata";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"15";"Fil.longiseta";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"16";"Ily.spinifer";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"1.3 (0.3)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"17";"Lec.aculeata";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.3 (0.3)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"18";"Lec.bulla";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0.1)";"0 (0)";"0.3 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.1 (0.2)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.1 (0)";"0 (0)";"0 (0)";"0 (0)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"19";"Lec.cornuta";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.7 (0.1)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"20";"Lec.crepida";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"21";"Lec.curvicornis";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"4 (3.9)";"0.1 (0.1)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"22";"Lec.furcata";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
"23";"Lecane.sp1";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)";"0 (0)"
