"Periodo";"Rio";"Segmento";"PontoN";"Data";"Coleta";"Bacia";"Trecho";"Habitat";"Ponto";"Ref_site";"Lote_m";"Habitat_Transect"
"S-B-P05-H1";"seco";"Barro Branco";"BarroBranco1";"Ponto5";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";5;"I";NA;1
"S-B-P05-H2";"seco";"Barro Branco";"BarroBranco1";"Ponto5";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";5;"I";NA;2
"S-B-P05-H3";"seco";"Barro Branco";"BarroBranco1";"Ponto5";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";5;"I";NA;3
"S-B-P06-H1";"seco";"Barro Branco";"BarroBranco1";"Ponto6";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";6;"I";NA;1
"S-B-P06-H2";"seco";"Barro Branco";"BarroBranco1";"Ponto6";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";6;"I";NA;2
"S-B-P06-H3";"seco";"Barro Branco";"BarroBranco1";"Ponto6";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";6;"I";NA;3
"S-B-P07-H1";"seco";"Barro Branco";"BarroBranco1";"Ponto7";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";7;"II";NA;1
"S-B-P07-H2";"seco";"Barro Branco";"BarroBranco1";"Ponto7";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";7;"II";NA;2
"S-B-P07-H3";"seco";"Barro Branco";"BarroBranco1";"Ponto7";45210;2;"Barro Branco";"Barro Branco Médio";"Rio";7;"II";NA;3
"S-B-P08-H1";"seco";"Barro Branco";"BarroBranco2";"Ponto8";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";8;"IV";NA;1
"S-B-P08-H2";"seco";"Barro Branco";"BarroBranco2";"Ponto8";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";8;"IV";NA;2
"S-B-P08-H3";"seco";"Barro Branco";"BarroBranco2";"Ponto8";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";8;"IV";NA;3
"S-B-P09-H1";"seco";"Barro Branco";"BarroBranco2";"Ponto9";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";9;"III";NA;1
"S-B-P09-H2";"seco";"Barro Branco";"BarroBranco2";"Ponto9";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";9;"III";NA;2
"S-B-P09-H3";"seco";"Barro Branco";"BarroBranco2";"Ponto9";45168;1;"Barro Branco";"Barro Branco Médio";"Rio";9;"III";NA;3
"S-B-P10-H1";"seco";"Barro Branco";"BarroBranco2";"Ponto10";45168;1;"Barro Branco";"Barro Branco Baixo";"Rio";10;"IV";NA;1
"S-B-P10-H2";"seco";"Barro Branco";"BarroBranco2";"Ponto10";45168;1;"Barro Branco";"Barro Branco Baixo";"Rio";10;"IV";NA;2
"S-B-P10-H3";"seco";"Barro Branco";"BarroBranco2";"Ponto10";45168;1;"Barro Branco";"Barro Branco Baixo";"Rio";10;"IV";NA;3
"S-C-P12-H1";"seco";"Caiana";"Caiana1";"Ponto12";45322;5;"Caiana";"Caiana Alto";"Rio";12;"III";NA;1
"S-C-P12-H2";"seco";"Caiana";"Caiana1";"Ponto12";45322;5;"Caiana";"Caiana Alto";"Rio";12;"III";NA;2
"S-C-P12-H3";"seco";"Caiana";"Caiana1";"Ponto12";45322;5;"Caiana";"Caiana Alto";"Rio";12;"III";NA;3
"S-C-P13-H1";"seco";"Caiana";"Caiana1";"Ponto13";45322;5;"Caiana";"Caiana Alto";"Rio";13;"III";NA;1
"S-C-P13-H2";"seco";"Caiana";"Caiana1";"Ponto13";45322;5;"Caiana";"Caiana Alto";"Rio";13;"III";NA;2
"S-C-P13-H3";"seco";"Caiana";"Caiana1";"Ponto13";45322;5;"Caiana";"Caiana Alto";"Rio";13;"III";NA;3
"S-C-P14-H1";"seco";"Caiana";"Caiana1";"Ponto14";45322;5;"Caiana";"Caiana Alto";"Rio";14;"III";NA;1
"S-C-P14-H2";"seco";"Caiana";"Caiana1";"Ponto14";45322;5;"Caiana";"Caiana Alto";"Rio";14;"III";NA;2
"S-C-P14-H3";"seco";"Caiana";"Caiana1";"Ponto14";45322;5;"Caiana";"Caiana Alto";"Rio";14;"III";NA;3
"S-C-P15-H1";"seco";"Caiana";"Caiana1";"Ponto15";45322;5;"Caiana";"Caiana Alto";"Riacho afluente";15;"IV";NA;1
"S-C-P15-H2";"seco";"Caiana";"Caiana1";"Ponto15";45322;5;"Caiana";"Caiana Alto";"Riacho afluente";15;"IV";NA;2
"S-C-P15-H3";"seco";"Caiana";"Caiana1";"Ponto15";45322;5;"Caiana";"Caiana Alto";"Riacho afluente";15;"IV";NA;3
"S-C-P16-H1";"seco";"Caiana";"Caiana2";"Ponto16";45322;5;"Caiana";"Caiana Médio";"Açude";16;"IV";NA;1
"S-C-P16-H2";"seco";"Caiana";"Caiana2";"Ponto16";45322;5;"Caiana";"Caiana Médio";"Açude";16;"IV";NA;2
"S-C-P16-H3";"seco";"Caiana";"Caiana2";"Ponto16";45322;5;"Caiana";"Caiana Médio";"Açude";16;"IV";NA;3
"S-C-P17-H1";"seco";"Caiana";"Caiana2";"Ponto17";45343;6;"Pepina";"Pepina Baixo";"Barragem pequena poça";17;"IV";NA;1
"S-C-P17-H2";"seco";"Caiana";"Caiana2";"Ponto17";45343;6;"Pepina";"Pepina Baixo";"Barragem pequena poça";17;"IV";NA;2
"S-C-P17-H3";"seco";"Caiana";"Caiana2";"Ponto17";45343;6;"Pepina";"Pepina Baixo";"Barragem pequena poça";17;"IV";NA;3
"S-C-P18-H1";"seco";"Caiana";"Caiana3";"Ponto18";45343;6;"Pepina";"Pepina Baixo";"Parede";18;"IV";NA;1
"S-C-P18-H2";"seco";"Caiana";"Caiana3";"Ponto18";45343;6;"Pepina";"Pepina Baixo";"Parede";18;"IV";NA;2
"S-C-P18-H3";"seco";"Caiana";"Caiana3";"Ponto18";45343;6;"Pepina";"Pepina Baixo";"Parede";18;"IV";NA;3
"S-C-P19-H1";"seco";"Caiana";"Caiana3";"Ponto19";45343;6;"Pepina";"Pepina Baixo";"Rio";19;"III";NA;1
"S-C-P19-H2";"seco";"Caiana";"Caiana3";"Ponto19";45343;6;"Pepina";"Pepina Baixo";"Rio";19;"III";NA;2
"S-C-P19-H3";"seco";"Caiana";"Caiana3";"Ponto19";45343;6;"Pepina";"Pepina Baixo";"Rio";19;"III";NA;3
"S-C-P20-H1";"seco";"Caiana";"Caiana3";"Ponto20";45343;6;"Pepina";"Pepina Baixo";"Rio perto da estrada";20;"IV";NA;1
"S-C-P20-H2";"seco";"Caiana";"Caiana3";"Ponto20";45343;6;"Pepina";"Pepina Baixo";"Rio perto da estrada";20;"IV";NA;2
"S-C-P20-H3";"seco";"Caiana";"Caiana3";"Ponto20";45343;6;"Pepina";"Pepina Baixo";"Rio perto da estrada";20;"IV";NA;3
"C-B-P05-H1";"chuvoso";"Barro Branco";"BarroBranco1";"Ponto5";45477;2;"Barro Branco";"Barro Branco Médio";"Rio";5;"I";NA;1
"C-B-P05-H2";"chuvoso";"Barro Branco";"BarroBranco1";"Ponto5";45477;2;"Barro Branco";"Barro Branco Médio";"Rio";5;"I";NA;2
"C-B-P05-H3";"chuvoso";"Barro Branco";"BarroBranco1";"Ponto5";45477;2;"Barro Branco";"Barro Branco Médio";"Rio";5;"I";NA;3
"C-B-P06-H1";"chuvoso";"Barro Branco";"BarroBranco1";"Ponto6";45477;2;"Barro Branco";"Barro Branco Médio";"Rio";6;"I";NA;1
"C-B-P06-H2";"chuvoso";"Barro Branco";"BarroBranco1";"Ponto6";45477;2;"Barro Branco";"Barro Branco Médio";"Rio";6;"I";NA;2
