"n.Ammonia_NH3_ug.L";"n.Nitrite_NO2_ug.L";"n.Nitrate_NO3_ug.L";"n.Orthophosphate_SRP_ug.L";"n.Phosphorus_TP_ug.L"
"S-B-P05-H1";64.32;0;0;0;0
"S-B-P05-H2";39.32;0;8.29;0;0
"S-B-P05-H3";60.68;0;9.71;0;0
"S-B-P06-H1";52.05;0;12.57;0;3
"S-B-P06-H2";77.05;0;6.86;0;10.33
"S-B-P06-H3";47.5;0;6.86;0;0.33
"S-B-P07-H1";33.41;0;0;0;0
"S-B-P07-H2";115.68;0;12.57;3;150.33
"S-B-P07-H3";67.05;0;4;0;0
"S-B-P08-H1";92.95;0;14;0;27
"S-B-P08-H2";68.86;0;11.14;0;0
"S-B-P08-H3";82.95;0;31.14;0;0
"S-B-P09-H1";77.95;0;18.29;0;22
"S-B-P09-H2";99.32;0;16.86;0;20.33
"S-B-P09-H3";65.23;0;19.71;0;15.33
"S-B-P10-H1";203.86;0;8.29;0;47
"S-B-P10-H2";277.5;0;5.43;0;55.33
"S-B-P10-H3";249.77;0;16.86;0;13.67
"S-C-P12-H1";64.3181818181818;1.79411764705882;1379.71428571429;7.28571428571429;8.66666666666667
"S-C-P12-H2";101.590909090909;2.38235294117647;922.571428571429;7.28571428571429;8.66666666666667
"S-C-P12-H3";82.5;1.5;94;8.71428571428572;12
"S-C-P13-H1";73.4090909090909;1.20588235294118;144;0.142857142857143;0.333333333333334
"S-C-P13-H2";52.9545454545455;23.2647058823529;165.428571428571;5.85714285714286;7
"S-C-P13-H3";55.2272727272727;20.3235294117647;189.714285714286;5.85714285714286;7
"S-C-P14-H1";53.4090909090909;4.14705882352941;1652.57142857143;4.42857142857143;5.33333333333334
"S-C-P14-H2";125.681818181818;6.20588235294118;2046.85714285714;7.28571428571429;12
"S-C-P14-H3";103.409090909091;4.73529411764706;2309.71428571429;5.85714285714286;7
"S-C-P15-H1";173.863636363636;1.20588235294118;352.571428571429;5.85714285714286;7
"S-C-P15-H2";141.136363636364;2.67647058823529;908.285714285714;8.71428571428572;15.3333333333333
"S-C-P15-H3";191.590909090909;2.67647058823529;1044;7.28571428571429;33.6666666666667
"S-C-P16-H1";61.5909090909091;10.3235294117647;4106.85714285714;7.28571428571429;10.3333333333333
"S-C-P16-H2";73.8636363636364;5.02941176470588;322.571428571429;13;15.3333333333333
"S-C-P16-H3";67.9545454545455;4.73529411764706;442.571428571429;75.8571428571429;170.333333333333
"S-C-P17-H1";80.2272727272727;2.67647058823529;461.142857142857;8.71428571428572;12
"S-C-P17-H2";79.3181818181818;3.85294117647059;566.857142857143;7.28571428571429;22
"S-C-P17-H3";87.0454545454546;4.14705882352941;1004;10.1428571428571;25.3333333333333
"S-C-P18-H1";43.8636363636364;3.26470588235294;626.857142857143;7.28571428571429;8.66666666666667
"S-C-P18-H2";48.8636363636364;3.85294117647059;486.857142857143;8.71428571428572;17
"S-C-P18-H3";54.7727272727273;3.26470588235294;754;10.1428571428571;12
"S-C-P19-H1";54.3181818181818;2.67647058823529;655.428571428571;10.1428571428571;12
"S-C-P19-H2";50.2272727272727;3.85294117647059;695.428571428571;13;18.6666666666667
"S-C-P19-H3";46.1363636363636;2.67647058823529;581.142857142857;11.5714285714286;13.6666666666667
"S-C-P20-H1";81.1363636363636;2.97058823529412;702.571428571429;7.28571428571429;8.66666666666667
"S-C-P20-H2";194.772727272727;96.7941176470588;889.714285714286;23;30.3333333333333
"S-C-P20-H3";53.4090909090909;2.97058823529412;594;8.71428571428572;10.3333333333333
