"Alo.dadayi";"Alo.hamulata";"Alonella.sp";"Bdelloidea";"Bra.patulus";"Cephalodella.sp";"Colurella.sp";"Copepodite";"Chydorus.sp";"Dicranophoroides.sp";"Dia.birgei";"Dia.spinulosum";"Dis.aculeata";"Euc.dilatata";"Fil.longiseta";"Ily.spinifer";"Lec.aculeata";"Lec.bulla";"Lec.cornuta";"Lec.crepida";"Lec.curvicornis";"Lec.furcata";"Lecane.sp1";"Lec.leontina";"Lec.lunaris";"Lec.luna";"Lec.monostyla";"Lecane.sp2";"Lec.papuana";"Lec.quadridentata";"Lecane.sp3";"Leydigia.sp";"Lepadella.sp1";"Lepadella.sp2";"Lep.ovalis";"Lep.patella";"Mesocyclops.sp";"Macrocyclops.sp";"Macrochaetus.sp";"Macrothrix.sp";"Mac.mira";"Mac.laticornis";"Moi.minuta";"Myt.crassipes";"Mytilina.sp";"Myt.bisulcata";"Nauplii";"Notodiaptomus.sp";"Paracyclops.sp";"Pla.quadricornis";"Polyarthra.sp";"Pol.bicerca";"Pol.dolichoptera";"Pol.vulgaris";"Tes.patina";"Tes.mucronata";"Trichocerca.sp";"Tri.tetractis"
"C-B-P05-H1";"1";"0";"0";"75";"0";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P05-H2";"0";"0";"0";"65";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P05-H3";"0";"0";"0";"110";"0";"0";"0";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P06-H1";"3";"0";"0";"67";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P06-H2";"1";"0";"0";"65";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P06-H3";"0";"0";"0";"67";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"C-B-P07-H1";"1";"0";"0";"105";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P07-H2";"1";"0";"0";"57";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P07-H3";"0";"0";"0";"67";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P08-H1";"634";"127";"47";"187";"0";"0";"0";"1410";"343";"0";"10";"0";"0";"0";"0";"0";"0";"6";"1";"0";"1";"0";"0";"52";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"62";"20";"25";"2";"30";"12";"1";"0";"0";"0";"249";"0";"110";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"C-B-P08-H2";"158";"31";"10";"197";"1";"0";"0";"407";"136";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"20";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"24";"3";"0";"1";"4";"0";"3";"0";"0";"0";"218";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P08-H3";"1";"0";"0";"126";"0";"0";"0";"5";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P09-H1";"0";"0";"0";"74";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"C-B-P09-H2";"1";"0";"0";"78";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P09-H3";"1";"2";"0";"149";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P10-H1";"7";"0";"0";"105";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0"
"C-B-P10-H2";"11";"1";"2";"116";"0";"1";"0";"8";"10";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"35";"0";"0";"0";"0";"1";"0";"0";"0"
"C-B-P10-H3";"36";"8";"5";"220";"2";"7";"0";"70";"13";"0";"10";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"6";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"107";"0";"1";"129";"0";"0";"0";"0";"0";"0";"1";"0"
"C-C-P12-H1";"3";"0";"0";"131";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P12-H2";"2";"0";"0";"209";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P12-H3";"5";"0";"0";"158";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P13-H1";"5";"0";"0";"107";"1";"0";"0";"14";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P13-H2";"4";"0";"0";"105";"0";"0";"0";"11";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P13-H3";"3";"2";"0";"157";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C-C-P14-H1";"0";"1";"0";"96";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
