"Alo.dadayi";"Alo.hamulata";"Alonella.sp";"Bdelloidea";"Bra.patulus";"Cephalodella.sp";"Colurella.sp";"Copepodite";"Chydorus.sp";"Dicranophoroides.sp";"Dia.birgei";"Dia.spinulosum";"Dis.aculeata";"Euc.dilatata";"Fil.longiseta";"Ily.spinifer";"Lec.aculeata";"Lec.bulla";"Lec.cornuta";"Lec.crepida";"Lec.curvicornis";"Lec.furcata";"Lecane.sp1";"Lec.leontina";"Lec.lunaris";"Lec.luna";"Lec.monostyla";"Lecane.sp2";"Lec.papuana";"Lec.quadridentata";"Lecane.sp3";"Leydigia.sp";"Lepadella.sp1";"Lepadella.sp2";"Lep.ovalis";"Lep.patella";"Mesocyclops.sp";"Macrocyclops.sp";"Macrochaetus.sp";"Macrothrix.sp";"Mac.mira";"Mac.laticornis";"Moi.minuta";"Myt.crassipes";"Mytilina.sp";"Myt.bisulcata";"Nauplii";"Notodiaptomus.sp";"Paracyclops.sp";"Pla.quadricornis";"Polyarthra.sp";"Pol.bicerca";"Pol.dolichoptera";"Pol.vulgaris";"Tes.patina";"Tes.mucronata";"Trichocerca.sp";"Tri.tetractis"
"S-B-P05-H1";"0";"0";"0";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"S-B-P05-H2";"0";"0";"0";"23";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S-B-P05-H3";"0";"0";"0";"32";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S-B-P06-H1";"0";"0";"0";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S-B-P06-H2";"1";"0";"0";"64";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S-B-P06-H3";"0";"0";"0";"77";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S-B-P07-H1";"0";"0";"0";"59";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S-B-P07-H2";"0";"0";"0";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"S-B-P07-H3";"0";"0";"0";"43";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"S-B-P08-H1";"1";"0";"0";"69";"0";"0";"1";"76";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1";"15";"0";"9";"0";"0";"0";"1";"0";"0";"0";"0";"0"
